ObjectID,Speed,Heading,Elevation,Attrib_1
542.0,0.851,290.0,-48.8,3.0
543.0,3.092,285.0,-48.6,3.0
544.0,1.574,305.0,-48.3,3.0
545.0,4.704,296.0,-48.2,3.0
546.0,2.666,282.0,-48.1,3.0
547.0,3.611,294.0,-47.8,3.0
548.0,3.37,295.0,-47.8,3.0
549.0,1.796,298.0,-47.7,3.0
550.0,5.278,288.0,-47.5,3.0
551.0,4.759,302.0,-47.4,3.0
552.0,0.296,289.0,-47.2,3.0
553.0,2.759,286.0,-47.0,3.0
554.0,0.055,285.0,-46.8,3.0
555.0,3.778,285.0,-46.8,3.0
556.0,4.204,300.0,-46.7,3.0
557.0,5.352,287.0,-46.5,3.0
558.0,0.314,298.0,-46.4,3.0
559.0,0.407,292.0,-46.2,3.0
560.0,0.203,331.0,-45.9,3.0
561.0,0.592,296.0,-45.5,3.0
562.0,0.185,293.0,-46.4,2.0
563.0,0.259,281.0,-45.7,3.0
564.0,0.222,290.0,-46.5,3.0
565.0,0.148,300.0,-46.1,2.0
566.0,0.092,61.0,-45.6,2.0
567.0,3.407,269.0,-45.1,3.0
568.0,0.462,296.0,-44.4,3.0
569.0,3.24,283.0,-44.1,3.0
570.0,0.407,296.0,-44.0,3.0
571.0,3.648,295.0,-44.0,3.0
572.0,0.574,315.0,-43.8,3.0
573.0,0.296,311.0,-43.6,2.0
574.0,2.463,279.0,-43.5,3.0
575.0,0.314,284.0,-43.2,3.0
576.0,0.111,280.0,-43.0,3.0
577.0,0.148,323.0,-42.8,3.0
578.0,1.259,327.0,-42.7,3.0
579.0,0.648,296.0,-42.8,3.0
580.0,0.185,279.0,-42.4,3.0
581.0,0.759,304.0,-42.2,3.0
582.0,0.111,288.0,-42.3,3.0
583.0,0.333,295.0,-42.0,3.0
584.0,0.259,273.0,-41.8,2.0
585.0,0.055,279.0,-41.7,3.0
586.0,0.092,297.0,-41.3,2.0
587.0,0.314,273.0,-41.1,1.0
588.0,0.111,296.0,-40.9,1.0
589.0,0.333,38.0,-40.7,1.0
590.0,0.222,170.0,-40.7,1.0
591.0,0.055,298.0,-40.5,2.0
592.0,0.425,279.0,-40.2,2.0
593.0,0.203,323.0,-40.0,1.0
594.0,0.777,299.0,-39.9,2.0
595.0,0.24,284.0,-39.6,2.0
596.0,0.018,266.0,-39.5,2.0
597.0,0.314,285.0,-39.2,1.0
598.0,0.166,348.0,-38.9,2.0
599.0,0.148,295.0,-38.7,1.0
600.0,0.388,308.0,-38.5,1.0
601.0,0.018,295.0,-38.4,2.0
602.0,0.037,278.0,-38.1,2.0
603.0,0.166,240.0,-37.8,1.0
604.0,0.222,246.0,-37.5,2.0
605.0,0.222,271.0,-37.1,1.0
606.0,0.24,299.0,-37.0,2.0
607.0,0.648,287.0,-36.9,1.0
608.0,1.351,250.0,-36.4,1.0
609.0,0.314,287.0,-36.3,2.0
610.0,2.518,292.0,-36.2,2.0
611.0,0.24,285.0,-36.0,2.0
612.0,1.37,208.0,-35.7,2.0
613.0,0.24,288.0,-35.4,2.0
614.0,0.666,276.0,-35.2,2.0
615.0,0.574,27.0,-35.3,2.0
616.0,0.074,274.0,-35.1,2.0
617.0,1.203,43.0,-34.9,1.0
618.0,0.203,275.0,-34.8,1.0
619.0,0.037,178.0,-31.0,1.0
620.0,0.092,218.0,-32.7,0.0
621.0,0.981,85.0,-34.0,0.0
622.0,0.055,69.0,-35.2,0.0
623.0,0.166,31.0,-35.6,1.0
624.0,0.444,102.0,-35.7,1.0
625.0,4.611,93.0,-35.8,1.0
626.0,0.37,102.0,-35.7,1.0
627.0,0.296,60.0,-36.1,1.0
628.0,0.296,170.0,-36.1,1.0
629.0,0.314,184.0,-36.3,2.0
630.0,0.37,111.0,-36.6,2.0
631.0,2.352,122.0,-36.7,2.0
632.0,0.148,81.0,-37.3,1.0
633.0,1.444,267.0,-37.7,1.0
634.0,0.5,156.0,-37.9,1.0
635.0,0.333,254.0,-37.9,1.0
636.0,0.166,106.0,-38.0,1.0
637.0,0.444,101.0,-38.5,1.0
638.0,0.166,114.0,-38.7,1.0
639.0,0.222,99.0,-38.8,1.0
640.0,0.388,197.0,-38.7,1.0
641.0,0.092,102.0,-39.3,1.0
642.0,0.129,110.0,-39.6,2.0
643.0,0.5,96.0,-40.0,2.0
644.0,0.166,100.0,-40.3,1.0
645.0,1.555,193.0,-40.4,2.0
646.0,0.481,100.0,-40.4,1.0
647.0,0.074,95.0,-40.7,1.0
648.0,0.203,96.0,-40.8,1.0
649.0,0.148,96.0,-41.1,0.0
650.0,5.37,103.0,-41.3,1.0
651.0,0.222,109.0,-41.5,1.0
652.0,0.722,103.0,-41.6,1.0
653.0,3.092,99.0,-41.7,1.0
654.0,3.981,128.0,-42.1,1.0
655.0,0.37,110.0,-42.3,1.0
656.0,4.574,119.0,-42.4,2.0
657.0,0.092,103.0,-42.7,2.0
658.0,0.148,106.0,-42.8,2.0
659.0,0.351,114.0,-42.8,2.0
660.0,0.129,118.0,-43.0,2.0
