OBJECTID,Od,Aleket,Commends,X,Y
339,1309.000000000000000,1.000000000000000, ,236097.290000000040000,720777.429999999700000
340,1310.000000000000000,1.000000000000000, ,236085.849999999630000,720777.210000000890000
341,1311.000000000000000,1.000000000000000, ,236073.120000000110000,720777.150000000370000
342,1312.000000000000000,1.000000000000000, ,236062.339999999850000,720776.929999999700000
343,1313.000000000000000,1.000000000000000, ,236049.370000000110000,720777.279999999330000
344,1314.000000000000000,1.000000000000000, ,236037.990000000220000,720776.890000000600000
345,1315.000000000000000,1.000000000000000, ,236025.580000000070000,720776.750000000000000
346,1316.000000000000000,1.000000000000000, ,236013.830000000070000,720777.119999999180000
347,1317.000000000000000,1.000000000000000, ,236002.690000000410000,720777.349999999630000
348,1318.000000000000000,1.000000000000000, ,235990.809999999590000,720777.140000000600000
349,1319.000000000000000,1.000000000000000, ,235979.370000000110000,720777.029999999330000
350,1320.000000000000000,1.000000000000000, ,235966.830000000070000,720777.250000000000000
351,1321.000000000000000,1.000000000000000, ,235956.820000000300000,720777.359999999400000
352,1322.000000000000000,1.000000000000000, ,235945.709999999960000,720777.689999999480000
353,1323.000000000000000,1.000000000000000, ,235935.360000000340000,720777.490000000220000
354,1324.000000000000000,1.000000000000000, ,235928.490000000220000,720754.189999999480000
355,1325.000000000000000,1.000000000000000, ,235939.049999999810000,720753.970000000670000
356,1326.000000000000000,1.000000000000000, ,235950.320000000300000,720754.169999999930000
357,1327.000000000000000,1.000000000000000, ,235961.809999999590000,720754.099999999630000
358,1328.000000000000000,1.000000000000000, ,235972.740000000220000,720754.580000000070000
359,1329.000000000000000,1.000000000000000, ,235985.190000000410000,720754.250000000000000
360,1330.000000000000000,1.000000000000000, ,235997.139999999660000,720754.130000000820000
361,1331.000000000000000,1.000000000000000, ,236008.799999999810000,720754.019999999550000
362,1332.000000000000000,1.000000000000000, ,236020.240000000220000,720754.019999999550000
363,1333.000000000000000,1.000000000000000, ,236032.889999999660000,720754.250000000000000
364,1334.000000000000000,1.000000000000000, ,236045.099999999630000,720754.359999999400000
365,1335.000000000000000,1.000000000000000, ,236057.780000000260000,720754.390000000600000
366,1336.000000000000000,1.000000000000000, ,236070.320000000300000,720754.509999999780000
367,1337.000000000000000,1.000000000000000, ,236080.990000000220000,720754.400000000370000
368,1338.000000000000000,1.000000000000000, ,236095.700000000190000,720754.589999999850000
369,1339.000000000000000,1.000000000000000, ,236108.780000000260000,720754.910000000150000
370,1340.000000000000000,1.000000000000000, ,236120.990000000220000,720754.800000000750000
371,1341.000000000000000,1.000000000000000, ,236133.089999999850000,720755.130000000820000
372,1342.000000000000000,1.000000000000000, ,236145.690000000410000,720754.910000000150000
373,1343.000000000000000,1.000000000000000, ,236158.339999999850000,720755.029999999330000
374,1344.000000000000000,1.000000000000000, ,236169.889999999660000,720755.140000000600000
