"FID_","x","y","_cm","_cm_1","Q","SAT","HDOP","Elevation","cm_110msim","cm_50msim"
,35.247376,32.623431,166.407000,120.987000,8.000000,7.000000,1.200000,56.358000,1.664000,1.210000
,35.247364,32.623411,163.282000,120.479000,8.000000,7.000000,1.200000,56.260000,1.633000,1.205000
,35.247351,32.623392,167.423000,124.932000,8.000000,7.000000,1.200000,56.117000,1.674000,1.248999
,35.247339,32.623376,165.704000,121.182000,8.000000,7.000000,1.200000,56.029000,1.656999,1.212000
,35.247329,32.623359,162.540000,117.705000,8.000000,7.000000,1.200000,55.989000,1.625000,1.177000
,35.247319,32.623341,164.689000,120.479000,8.000000,7.000000,1.200000,56.045000,1.646999,1.205000
,35.247308,32.623322,160.509000,117.666000,8.000000,7.000000,1.200000,56.254000,1.605000,1.177000
,35.247299,32.623301,163.868000,121.963000,8.000000,7.000000,1.200000,56.040000,1.639000,1.220000
,35.247292,32.623284,162.267000,121.807000,8.000000,7.000000,1.200000,55.834000,1.623000,1.218000
,35.247285,32.623267,149.571000,119.190000,8.000000,7.000000,1.200000,55.752000,1.496000,1.192000
,35.247275,32.623247,147.892000,119.971000,8.000000,7.000000,1.200000,55.769000,1.478999,1.200000
,35.247264,32.623227,145.118000,117.198000,8.000000,7.000000,1.200000,55.650000,1.450999,1.172000
,35.247255,32.623208,142.931000,117.393000,8.000000,7.000000,1.100000,55.705000,1.429000,1.174000
,35.247246,32.623191,148.556000,116.221000,8.000000,7.000000,1.100000,55.828000,1.485999,1.161999
,35.247237,32.623175,145.743000,115.205000,8.000000,7.000000,1.100000,55.805000,1.457000,1.151999
,35.247226,32.623162,144.142000,114.932000,8.000000,7.000000,1.100000,55.707000,1.440999,1.149000
,35.247215,32.623149,139.415000,109.385000,8.000000,7.000000,1.100000,55.849000,1.394000,1.093999
,35.247204,32.623134,144.220000,116.963000,8.000000,7.000000,1.100000,55.949000,1.442000,1.169999
,35.247191,32.623118,152.775000,123.877000,8.000000,6.000000,1.200000,56.073000,1.527999,1.238999
,35.247178,32.623101,144.571000,112.158000,8.000000,7.000000,1.200000,56.049000,1.445999,1.121999
,35.247166,32.623084,147.853000,116.104000,8.000000,7.000000,1.200000,56.195000,1.478999,1.161000
,35.247153,32.623066,133.400000,111.455000,8.000000,7.000000,1.200000,56.075000,1.333999,1.115000
,35.247141,32.623047,153.751000,125.596000,8.000000,7.000000,1.100000,56.015000,1.537999,1.256000
,35.247131,32.623030,169.610000,134.776000,8.000000,7.000000,1.100000,56.030000,1.695999,1.348000
,35.247122,32.623014,179.689000,137.705000,8.000000,7.000000,1.100000,56.153000,1.797000,1.376999
,35.247114,32.623001,194.923000,143.018000,8.000000,7.000000,1.100000,56.231000,1.949000,1.429999
,35.247108,32.622989,225.275000,163.682000,8.000000,7.000000,1.100000,55.923000,2.253000,1.636999
,35.247102,32.622980,251.485000,188.760000,8.000000,7.000000,1.100000,55.680000,2.515000,1.888000
,35.247096,32.622971,246.056000,178.135000,8.000000,7.000000,1.100000,55.747000,2.460999,1.781000
,35.247093,32.622968,249.571000,179.619000,8.000000,7.000000,1.100000,55.689000,2.496000,1.796000
,35.247093,32.622967,250.392000,180.323000,8.000000,7.000000,1.100000,55.647000,2.503999,1.802999
,35.247092,32.622965,250.470000,180.283000,8.000000,7.000000,1.100000,55.553000,2.505000,1.802999
,35.247091,32.622960,253.204000,183.213000,8.000000,7.000000,1.100000,55.630000,2.532000,1.832000
,35.247086,32.622952,259.376000,188.877000,8.000000,7.000000,1.100000,55.609000,2.594000,1.889000
,35.247084,32.622945,273.634000,204.776000,8.000000,7.000000,1.100000,55.466000,2.736000,2.048000
